# Topology used in the work "DeepRMSA: A Deep Reinforcement Learning Framework for Routing, Modulation and Spectrum Assignment in Elastic Optical Networks", DOI: 10.1109/jlt.2019.2923615
20
31	
0	1		503		
0	4		1574		
1	3		1053		
2	3		777		
2	4		463		
3	4		341		
3	5		261		
3	8		641		
3	9		557		
4	5		328		
4	6		494		
4	13		1165		
4	14		1059		
5	6		209		
5	7		233		
5	9		641		
6	7		371		
6	11		973		
6	12		904		
6	14		648		
8	9		305		
8	10		681		
8	11		876		
8	14		1168		
8	16		529		
9	11		676		
10	16		517		
10	18		2551		
11	14		354		
11	15		312		
12	13		485		
12	17		522		
13	17		417		
14	15		666		
14	17		810		
14	19		1608		
15	16		269		
16	18		1081		
17	19		1227				
